wafer_id,mean,sd_within,standard_error,worst_site,shift_drop_worst,p_value,flagged
wf0054,611.7046923076923,11.361081641468072,3.150997107926594,7,-2.031307692307678,0.8676735179391895,False
wf0055,644.4377692307693,25.438796270505954,7.05545264149164,9,-4.56981410256401,0.0006005982610459223,False
wf0056,612.1976153846155,8.20848836610069,2.2766250536942816,2,1.2361987179488096,0.9899651656949906,False
wf0057,616.2823076923077,7.650636393841305,2.1219047544558256,10,1.189974358974382,0.9947631391949264,False
wf0058,590.6464615384616,8.645698223349624,2.3978852504980757,9,1.3431282051283233,0.984075461898209,False
wf0059,613.758153846154,11.890789866153776,3.2979117360142327,2,-1.677846153846076,0.823002136268034,False
wf0060,618.8928461538461,7.483798164993429,2.0756321553159323,11,-1.2459038461538512,0.9957506253429281,False
wf0061,619.801153846154,14.595069737449888,4.047944023642178,10,-2.9815128205126484,0.5036650373167895,False
wf0062,505.46599999999995,10.084162111945652,2.796843351131637,6,1.7422500000000127,0.9435521729085298,False
wf0063,603.2773076923075,7.700959024526479,2.1358617410136436,2,1.15814102564093,0.9944300178359602,False
wf0064,611.5153076923076,8.678849927502077,2.407079878897359,13,1.3356410256410527,0.9835343269607535,False
wf0065,610.4368461538462,10.915417863784487,3.0273922154608135,8,1.7088461538462525,0.8991737897197699,False
wf0066,648.9713076923077,9.637047701315788,2.6728361254758806,11,1.7564743589744012,0.9604274709174574,False
wf0067,596.7183076923077,6.811461228260972,1.8891594399484508,11,-0.9718589743589519,0.9983015696363744,False
wf0068,610.0235384615384,8.106087173799143,2.2482240729625986,13,1.077955128205076,0.9910467941906004,False
wf0069,614.4876153846154,8.889455865785239,2.465491456543293,10,1.2792820512820526,0.9797423896358238,False
wf0070,682.8899230769231,8.017590114466428,2.2236794048739923,7,-1.0507435897434334,0.9919024053575322,False
wf0071,531.601,8.60158745038769,2.38565112328926,2,-1.4614166666666506,0.9847731946335962,False
wf0072,621.0708461538462,9.509079203986687,2.6373440501863303,5,1.6191794871795082,0.9644668120753079,False
wf0073,619.2252307692307,8.252653938318323,2.288874379482042,8,1.2722307692307595,0.9894666760067413,False
wf0074,588.4191538461538,9.017289253115864,2.50094605906151,13,1.8758205128204963,0.9771218162206832,False
wf0075,618.1916153846153,9.386305845383317,2.603292847132071,6,1.1301987179487014,0.9680378734224806,False
wf0076,641.471,12.158864002584025,3.372262124054617,3,1.8251666666666324,0.7974852079737637,False
wf0077,612.6374615384616,14.005076672498586,3.8843093891921723,13,2.543544871794893,0.580740545049351,False
wf0078,611.4988461538462,8.621180979097856,2.3910853903993967,10,-1.534487179487087,0.9844663763817083,False
