wafer_id,sd_within,baseline,limit,exceeded
wf0064,10.65398551824981,14.697497400309766,24.339595014078228,False
wf0065,9.951458976915427,14.642907032313328,24.24919136150301,False
wf0066,7.349968864402904,14.582167203400493,24.148603975998068,False
wf0067,11.926169798560734,14.499527716928782,24.011749953975894,False
wf0068,9.866127833303052,14.46448537552972,23.953718550753447,False
wf0069,6.949893745729014,14.407499104025783,23.85934719405303,False
wf0070,7.33873249291485,14.327166397880909,23.726313284898534,False
wf0071,7.7315669017612745,14.251480167281743,23.600974109748417,False
wf0072,7.60267629834625,14.1804791501349,23.4833938199975,False
wf0073,8.097950846371951,14.11013519737162,23.36690165297649,False
wf0074,7.798491655606503,14.045173064790468,23.25932197766097,False
wf0075,7.374466495262121,13.979376305905555,23.150360130560117,False
wf0076,7.391646057266106,13.911952624438289,23.038704039963573,False
wf0077,8.653222409999834,13.84610831144016,22.929663441506253,False
wf0078,9.084651290176334,13.791205849521745,22.83874294994407,False
wf0079,8.143156509357892,13.741070534296119,22.755717028233807,False
wf0080,7.615459347729666,13.684528135660479,22.662080741291035,False
wf0081,19.71948433168811,13.625359506466197,22.564095320174605,False
wf0082,12.721164828841902,13.7171118674628,22.71604059680352,False
wf0083,10.261190967764083,13.705402100038278,22.69664879226298,False
wf0084,7.652639462537743,13.669071531130767,22.636484037015517,False
wf0085,6.546128430078112,13.613095394371916,22.543785500519476,False
wf0086,7.830488852342903,13.551395222107637,22.441607751185103,False
wf0087,6.4401268859932035,13.498812658921375,22.35452909705118,False
wf0088,7.2869366695231514,13.438757789116147,22.25507602896276,False
wf0089,8.168116376559897,13.384742753831585,22.165625148470024,False
wf0090,10.217946528359318,13.33746767767985,22.087335887621528,False
wf0091,9.4437239884079,13.306824628315594,22.036589873439095,False
wf0092,8.868060191727526,13.270485418366633,21.976410808309907,False
wf0093,7.548811983284143,13.23051018040947,21.910210347376452,False
wf0094,8.134990710441798,13.182447326376186,21.8306164974489,False
wf0095,8.727602881897328,13.13895920395429,21.758598570937867,False
wf0096,7.3165083272394495,13.10026213261341,21.694514800822823,False
wf0097,19.08533701629712,13.053229863997077,21.616627638162683,False
wf0098,14.393518706125679,13.129562079101383,21.743036587357473,False
wf0099,9.41323606104858,13.143073452596642,21.765411917660415,False
wf0100,8.908912911754772,13.110704328758048,21.71180746081082,False
wf0101,7.174245477168094,13.075371872679039,21.653295617032732,False
